subtype_id,domain_id,cluster_id,hierarchy_id,subtype_code,name_ko,definition,is_primary,label_status,evidence_boundary,weighted_prevalence_low,weighted_prevalence_base,weighted_prevalence_high,effective_sample_size,entropy,stability_score,hard_support,confidence_score,confidence_grade
DOM-01-SUB-01,DOM-01,DOM-01-CLU-01,H-DOM-01-CLU-01,music_audio.subtype_01,기분 조절 중심 음악·오디오,기분 조절 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.13651546507372858,0.2137100124976643,0.2909045599216,220.92874492504632,0.06615394119051485,0.3528105848469716,214,54,D
DOM-01-SUB-02,DOM-01,DOM-01-CLU-02,H-DOM-01-CLU-02,music_audio.subtype_02,새 음악 발견 중심 음악·오디오,새 음악 발견 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.5370737366800012,0.6189634968226058,0.7008532569652103,635.4446371514229,0.06615394119051485,0.3528105848469716,613,56,C
DOM-01-SUB-03,DOM-01,DOM-01-CLU-03,H-DOM-01-CLU-03,music_audio.subtype_03,정체성 표현 중심 음악·오디오,정체성 표현 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.0,0.047744638987519364,0.11274189132926307,48.902867911890766,0.06615394119051485,0.3528105848469716,49,51,D
DOM-01-SUB-04,DOM-01,DOM-01-CLU-04,H-DOM-01-CLU-04,music_audio.subtype_04,아티스트 지지 중심 음악·오디오,아티스트 지지 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.04768621006015049,0.11958185169221075,0.191477493324271,131.54349913755095,0.06615394119051485,0.3528105848469716,124,53,D
DOM-02-SUB-01,DOM-02,DOM-02-CLU-01,H-DOM-02-CLU-01,video_ott.subtype_01,서사 몰입 중심 영상·OTT,서사 몰입 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.30642584440562015,0.36073731008825755,0.41504877577089494,391.773230871808,0.14101348602138253,0.6933319457160971,377,47,D
DOM-02-SUB-02,DOM-02,DOM-02-CLU-02,H-DOM-02-CLU-02,video_ott.subtype_02,휴식 중심 영상·OTT,휴식 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.4683978176064418,0.5239007399848301,0.5794036623632185,559.8782653210197,0.14101348602138253,0.6933319457160971,517,47,D
DOM-02-SUB-03,DOM-02,DOM-02-CLU-03,H-DOM-02-CLU-03,video_ott.subtype_03,화제 참여 중심 영상·OTT,화제 참여 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.0710189501901608,0.11536194992691243,0.15970494966366405,136.1925463369359,0.14101348602138253,0.6933319457160971,106,45,D
DOM-03-SUB-01,DOM-03,DOM-03-CLU-01,H-DOM-03-CLU-01,gaming_esports.subtype_01,성취 중심 게임·e스포츠,성취 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.3007223130406821,0.36304597470153416,0.4253696363623862,385.12971945790946,0.07729516878932427,0.5937015024519127,352,45,D
DOM-03-SUB-02,DOM-03,DOM-03-CLU-02,H-DOM-03-CLU-02,gaming_esports.subtype_02,사회적 연결 중심 게임·e스포츠,사회적 연결 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.0,0.04440689623119439,0.08968490567179598,47.425977383403485,0.07729516878932427,0.5937015024519127,43,41,D
DOM-03-SUB-03,DOM-03,DOM-03-CLU-03,H-DOM-03-CLU-03,gaming_esports.subtype_03,도피·휴식 중심 게임·e스포츠,도피·휴식 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.529573439260161,0.5925471290672717,0.6555208188743824,609.4411114622701,0.07729516878932427,0.5937015024519127,605,46,D
DOM-04-SUB-01,DOM-04,DOM-04-CLU-01,H-DOM-04-CLU-01,reading_webtoon.subtype_01,지식 습득 중심 독서·웹툰,지식 습득 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.30901842164835586,0.39311198345671794,0.47720554526508,437.13957721259715,0.19420900057614698,0.3274315506707835,384,40,D
DOM-04-SUB-02,DOM-04,DOM-04-CLU-02,H-DOM-04-CLU-02,reading_webtoon.subtype_02,서사 몰입 중심 독서·웹툰,서사 몰입 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.15439137398302616,0.23446823816652768,0.3145451023500292,261.3026298246839,0.19420900057614698,0.3274315506707835,239,39,D
DOM-04-SUB-03,DOM-04,DOM-04-CLU-03,H-DOM-04-CLU-03,reading_webtoon.subtype_03,자기계발 중심 독서·웹툰,자기계발 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.28863576796460955,0.37241977837675455,0.45620378878889956,428.588640217903,0.19420900057614698,0.3274315506707835,377,40,D
DOM-05-SUB-01,DOM-05,DOM-05-CLU-01,H-DOM-05-CLU-01,culture_events.subtype_01,문화 향유 중심 문화예술·행사,문화 향유 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.22531478708443098,0.2934504830710732,0.3615861790577154,345.9644973430983,0.2510096475044595,0.5012547595259967,286,43,D
DOM-05-SUB-02,DOM-05,DOM-05-CLU-02,H-DOM-05-CLU-02,culture_events.subtype_02,새로움 중심 문화예술·행사,새로움 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.27384224483799613,0.3431827335969389,0.4125232223558817,400.0617135558016,0.2510096475044595,0.5012547595259967,355,43,D
DOM-05-SUB-03,DOM-05,DOM-05-CLU-03,H-DOM-05-CLU-03,culture_events.subtype_03,사회적 교류 중심 문화예술·행사,사회적 교류 동기와 군집 대비어를 바탕으로 군집 적합 후 명명한 primary subtype,true,post_hoc_interpreted,관측: 합성 성인 내러티브·구조 필드와 공식 보정가중치. 추론: 동기 라벨. 실재 개인의 속성으로 간주 금지.,0.293641996222414,0.36336678333198796,0.43309157044156193,418.9573715310062,0.2510096475044595,0.5012547595259967,359,43,D
